CSV Idd,GreatWalk,Name,Action,Description,Longitude,Latitude,POIIconType,Comments
115,TongariroNorthernCircuit,Ketetahi Roadend Shelter,,,175.662206,-39.074334,Shelter,New coordinate
122,WhanganuiJourney,Whakahoro Campsite,Accessible by road,,175.071204,-39.107437,Campsite,New coordinate
128,WhanganuiJourney,Tieke Kainga and Campsite,Change map icon name and add description,Learn about the history of Tieke and the tikanga (protocol) of the marae.,174.993206,-39.33574,Camphut,New coordinate
80,WhanganuiJourney,Bridge to Nowhere,Change map icon name and check co-ordinates,"Visit the famous Bridge to Nowhere, a bridge left behind by returned World War One Serviceman in the valley of abandoned dreams. A gentle 40 minute walk from the Mangapurua Landing on the Whanganui river will take you there.",174.974622,-39.276647,Side trip,New coordinate
131,WhanganuiJourney,Manganui o te Ao,Change map icon name and check co-ordinates,,175.047207,-39.401441,Feature,New coordinate
119,WhanganuiJourney,Mangapapa Campsite,Change map icon name and check coordinates,,174.999204,-39.127738,Campsite,New coordinate
125,WhanganuiJourney,John Coull Hut and Campsite,"Change map icon name, change icon to hut/campsite icon and check co-ordinates",,174.914205,-39.23094,Hut,New coordinate
117,WhanganuiJourney,Ohinepane Campsite,Check co-ordinates,,175.146203,-38.939834,Campsite,New coordinate
118,WhanganuiJourney,Poukaria Campsite,Check co-ordinates,,175.120203,-38.990335,Campsite,New coordinate
121,WhanganuiJourney,Maharanui Campsite,Check co-ordinates,,175.045203,-39.071837,Campsite,New coordinate
124,WhanganuiJourney,Ohauora Campsite,Check co-ordinates,,174.959204,-39.169339,Campsite,New coordinate
126,WhanganuiJourney,Mangawaiiti Campsite,Check co-ordinates,,174.905206,-39.28234,Campsite,New coordinate
127,WhanganuiJourney,Mangapurua Campsite,Check co-ordinates,,174.967206,-39.27894,Campsite,New coordinate
129,WhanganuiJourney,Ngaporo Campsite,Check co-ordinates,,175.036207,-39.423041,Campsite,New coordinate
130,WhanganuiJourney,Ohura Falls,Check co-ordinates,,175.038203,-39.052937,Feature,Cannot locate
120,WhanganuiJourney,John Coull Campsite,Combine with CSV ID 125,,174.914205,-39.23124,Campsite,New coordinate
