CSV ID,GreatWalk,Name,Description,Longitude,Latitude,POIIconType,PixelOffsetLeft,PixelOffsetTop,Reviewed,Comments
165,RouteburnTrack,Routeburn Flats Hut and Campsite,,168.211061,-44.723359,Camphut,,,Andrew Evans,New coordinate
166,RouteburnTrack,Conical Hill,,168.16906,-44.719958,Feature,,,Andrew Evans,New coordinate
167,RouteburnTrack,Harris Saddle Shelter,,168.17106,-44.725759,Shelter,,,Andrew Evans,New coordinate
168,RouteburnTrack,Lake Mackenzie Hut and Campsite,,168.176061,-44.76256,Camphut,,,Andrew Evans,New coordinate
169,RouteburnTrack,Lake Howden Hut,,168.13506,-44.814962,Hut,,,Andrew Evans,New coordinate
170,RouteburnTrack,Key Summit Lookout,,168.126059,-44.813162,Feature,,,Andrew Evans,New coordinate
171,RouteburnTrack,The Divide Shelter,,168.117059,-44.823563,Shelter,,,Andrew Evans,New coordinate
172,RouteburnTrack,Routeburn Roadend Shelter,,168.279063,-44.717158,Shelter,,,Andrew Evans,New coordinate
173,RouteburnTrack,Lake Howden Campsite,,168.13706,-44.823863,Campsite,,,Andrew Evans,New coordinate
174,MilfordTrack,Dumpling Hut,,167.764048,-44.767461,Hut,,,Andrew Evans,New coordinate
175,MilfordTrack,Sandfly Point Shelter,,167.902053,-44.681657,Shelter,,,Andrew Evans,New coordinate
176,MilfordTrack,Giants Gate Shelter,,167.851051,-44.704758,Shelter,-30,,Andrew Evans,New coordinate
177,MilfordTrack,Mackay Falls,,,,Feature,,,Andrew Evans,Already shown as CSV ID 32 (DOCDM-1145173)
178,MilfordTrack,Historic Boatshed Hut,,167.80305,-44.736259,Feature,15,,Andrew Evans,New coordinate
179,MilfordTrack,Andersons Cascade Shelter,,167.775049,-44.791162,Shelter,,,Andrew Evans,Cannot locate
180,MilfordTrack,Mintaro Hut,,167.782049,-44.808263,Hut,,2,Andrew Evans,New coordinate
181,MilfordTrack,Quintin Lodge Shelter,,167.754048,-44.789662,Shelter,,,Andrew Evans,New coordinate
182,MilfordTrack,Mackinnon Pass Shelter,,167.776049,-44.800762,Shelter,,,Andrew Evans,Could be already shown as CSV ID 35 (DOCDM-1145173) - included just in case it is not
183,MilfordTrack,Mackinnon Memorial,,167.765049,-44.800562,Feature,,-30,Andrew Evans,New coordinate
184,MilfordTrack,Bus Stop Shelter,,167.804051,-44.838764,Shelter,,,Andrew Evans,New coordinate
185,MilfordTrack,Clinton Hut,,167.908054,-44.903666,Hut,,,Andrew Evans,New coordinate
186,MilfordTrack,Glade Wharf,,167.930055,-44.930668,Feature,,,Andrew Evans,New coordinate
187,MilfordTrack,Mirror Lake,,167.78505,-44.815863,Feature,,5,Andrew Evans,New coordinate
188,KeplerTrack,Kepler Track Shelter,,167.689056,-45.440588,Shelter,,,Andrew Evans,New coordinate
189,KeplerTrack,Brod Bay Campsite,,167.674055,-45.402486,Campsite,,,Andrew Evans,New coordinate
190,KeplerTrack,Luxmore Hut,,,,Hut,,,Andrew Evans,Already shown as CSV ID 63 (DOCDM-1145173)
191,KeplerTrack,Forest Burn Shelter,,167.567052,-45.386487,Shelter,,,Andrew Evans,New coordinate
192,KeplerTrack,Hanging Valley Shelter,,167.536051,-45.381387,Shelter,,,Andrew Evans,New coordinate
193,KeplerTrack,Iris Burn Hut and Campsite,,167.509051,-45.397288,Camphut,,,Andrew Evans,New coordinate
194,KeplerTrack,Brod Bay Shelter,,167.675055,-45.403186,Shelter,-35,,Andrew Evans,Cannot locate
195,KeplerTrack,Rocky Point Shelter,,167.567054,-45.446689,Shelter,,,Andrew Evans,New coordinate
196,KeplerTrack,Rainbow Reach Carpark Shelter,,167.663057,-45.49009,Shelter,,,Andrew Evans,New coordinate
197,KeplerTrack,Fiordland National Park Visitor Centre,,167.716056,-45.419487,VisitorCentre,,,Andrew Evans,New coordinate
198,RakiuraTrack,Rakiura National Park Visitor Centre,,168.128091,-46.896732,VisitorCentre,,30,Andrew Evans,New coordinate
199,RakiuraTrack,Maori Beach Campsite,,168.08809,-46.855731,Campsite,25,,Andrew Evans,New coordinate
200,RakiuraTrack,Maori Beach Shelter,,168.08909,-46.855231,Shelter,50,,Andrew Evans,New coordinate
201,RakiuraTrack,Port William Hut,,168.087089,-46.83443,Camphut,-10,10,Andrew Evans,New coordinate
202,RakiuraTrack,North Arm Campsite,,168.03309,-46.896933,Campsite,,,Andrew Evans,Cannot locate
203,RakiuraTrack,North Arm Shelter,,168.03409,-46.897033,Shelter,25,,Andrew Evans,New coordinate
